source,url,local_path,status,bytes,error
UniProt,https://rest.uniprot.org/uniprotkb/search?query=gene_exact%3ATMEM158+AND+organism_id%3A9606&format=json&fields=accession%2Cid%2Cgene_names%2Cprotein_name%2Corganism_name%2Cxref_ensembl%2Cxref_hpa%2Ccc_subcellular_location%2Cgo_c%2Csequence,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/TMEM158_CaUPR_ESCC/02_data/raw/protein_context/TMEM158_uniprot_search.json,cached,2133,
Human Protein Atlas search,https://www.proteinatlas.org/search/TMEM158?format=json,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/TMEM158_CaUPR_ESCC/02_data/raw/protein_context/TMEM158_hpa_search.json,cached,8812,
Human Protein Atlas JSON,https://www.proteinatlas.org/ENSG00000249992.json,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/TMEM158_CaUPR_ESCC/02_data/raw/protein_context/TMEM158_HPA_ENSG00000249992.json,cached,8811,
Human Protein Atlas TSV,https://www.proteinatlas.org/ENSG00000249992.tsv,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/TMEM158_CaUPR_ESCC/02_data/raw/protein_context/TMEM158_HPA_ENSG00000249992.tsv,cached,6655,
QuickGO cellular component,https://www.ebi.ac.uk/QuickGO/services/annotation/search?geneProductId=UniProtKB%3AQ8WZ71&aspect=cellular_component&limit=100,/Users/gdbhcx/Documents/生信分析（SMIM14驱动的内质网Ca²⁺应激–UPR–免疫抑制轴在食管鳞癌中的作用机制研究）/TMEM158_CaUPR_ESCC/02_data/raw/protein_context/TMEM158_quickgo_cellular_component.json,cached,557,
