"Cell_type","group_name","TAC_meta_ECM_score","CAF_ECM_score","ECM_integrin_ligand_score","Integrin_receptor_score","Proteostasis_score","n_cells"
"Fibroblast","Fib-MMP1",3.77216011992104,3.77353167054929,3.74428916285452,1.65723101453513,0.874481901568029,2790
"Fibroblast","Fib-MKI67",3.25084749256612,3.19130147935806,3.73405609149547,2.20465639673297,0.781887829092466,135
"Fibroblast","Fib-CFD",2.69313617459378,2.83179252456025,2.36501725572672,0.505696803492804,0.629693227100115,462
"Fibroblast","Fib-HTRA1",2.46975144205732,2.577026472362,3.20298078422298,-0.366077985731727,-0.801811752058552,1205
"Fibroblast","Fib-MCAM",2.35748365846698,2.28332670298569,2.17257341865877,1.91808952829405,0.155366176393377,530
"Fibroblast","Fib-ACTA2",2.24681409629708,2.32365063503944,1.946924732129,1.26512318749133,-0.138350008211806,563
"Endothelial","EC-MKI67",0.554449555715036,0.410645247733177,0.01798455532922,2.67988313897495,1.59990179101118,57
"Endothelial","EC-PDPN",0.269604627278769,0.21172975545712,0.347340304051558,0.457095299292592,-0.31619291954704,19
"Endothelial","EC-CCL14",0.15382420333734,0.0675235024363866,-0.0274270008967851,0.684901251337653,0.12672981659594,533
"Endothelial","EC-FLT1",0.113125757983248,0.118354108427545,-0.0747372084792266,0.929523953957424,-0.0573947498366055,697
"Myeloid","Macro-FN1",-0.0519222682752332,-0.139363412618178,0.0602837667269068,0.526085564274914,0.411852434951851,94
"Epithelial","Ep-C7",-0.0784322482313421,-0.0956157955659224,-0.229950459412191,2.66835100195102,2.09976994024782,385
"Myeloid","Macro-IL1B",-0.177950877790675,-0.289728498356684,-0.214017829678355,0.526369459652989,0.079486910379977,107
"Myeloid","Macro-CXCL5",-0.183353450057331,-0.251043953336576,-0.30942307291851,0.562298893023088,0.000962377545759674,175
"Myeloid","Macro-CXCL10",-0.18693661503506,-0.2855020877595,-0.267378296293648,0.621779927759053,0.436137155550376,90
"Myeloid","Mono-FOS",-0.187559617921031,-0.293967114092998,-0.239956640200897,0.429771252706322,0.278770422164322,36
"Myeloid","pro M-MKI67",-0.188963717145482,-0.279362558063985,-0.374655454192972,0.417209360789831,1.27351669672915,86
"Epithelial","Ep-N2",-0.193510569126618,-0.243689027401357,-0.325976086204222,1.00644900417415,0.560496652257509,365
"Myeloid","Macro-APOE",-0.199657490281562,-0.296292711114652,-0.321033852532653,0.641603314226096,0.76233685661403,337
"Myeloid","Macro-CCL13",-0.215817905410896,-0.286733381552786,-0.337385682081521,0.600635900891809,0.520692303974605,191
"Myeloid","Mono-THBS1",-0.230541036399357,-0.358883422276941,-0.325949248368039,0.509985281731312,-0.140437607301232,285
"Myeloid","DC-CLEC9A",-0.230772932303256,-0.416490230030677,-0.415036677967265,-0.662394481155662,0.582500802470088,23
"Myeloid","DC-CD1C",-0.245976496300888,-0.336645426765439,-0.281435152977087,-0.0979961139924101,-0.00918717326627732,302
"Myeloid","DC-LAMP3",-0.254500697383429,-0.388197820232727,-0.388021617338368,-0.416722017131128,0.241104713891119,53
