package_path,source_path,deposit_group,file_type,size_bytes,sha256,status,notes
TMEM158_CaUPR_ESCC/01_literature/tmem158_pmc_fulltext_scan_status.csv,01_literature/tmem158_pmc_fulltext_scan_status.csv,literature_gate,csv,411,81a6f04e35fc658b7e0bc2120b35a6e12efcb906a6c6ef1c7e5e60206701a85c,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/01_literature/tmem158_pmc_fulltext_term_scan.csv,01_literature/tmem158_pmc_fulltext_term_scan.csv,literature_gate,csv,17298,8913ccf4e0c55bc7103593beba90947a39ff94fbff444f1e3b225187d31f081e,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/01_literature/tmem158_pubmed_pmc_duplication_counts.csv,01_literature/tmem158_pubmed_pmc_duplication_counts.csv,literature_gate,csv,10722,e564e64839f4f3f3049f05862a6d1e403ca7a8b453fafa50ada53e6d8ed9ddb9,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/01_literature/tmem158_pubmed_pmc_duplication_records.csv,01_literature/tmem158_pubmed_pmc_duplication_records.csv,literature_gate,csv,24786,948a7fe28c2b74f0e64757f1baa7a2eb2c0fc57e63cf847fa43ac0a8e449e8d9,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_final_author_submission_handoff.py,03_scripts/Python/build_final_author_submission_handoff.py,code,py,21980,0134656f28ddd50b69f7ea952f2d591d9cd9a1dea3d4fe1c086f44f23b64d5ed,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_final_sci_submission_gap_audit.py,03_scripts/Python/build_final_sci_submission_gap_audit.py,code,py,34402,94969a243dec447b46384b2753db2e979db7973f97db5dabe960a7b4b0e39471,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_reviewer_risk_response_pack.py,03_scripts/Python/build_reviewer_risk_response_pack.py,code,py,34387,a053038f0e77ff8a08ea7a7d3effeb3e9840468a12c82aafe970947590ae0415,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_scientific_reports_docx.py,03_scripts/Python/build_scientific_reports_docx.py,code,py,12197,2a739afa884f446aab884ef8c506b622a039e220521cdd9a62ad9c9f02d1ed07,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_scientific_reports_official_policy_audit.py,03_scripts/Python/build_scientific_reports_official_policy_audit.py,code,py,38751,79e45fc95e76e2186d2031a3fee3db13c741d38ba78ae38ed16d1cc171684c9a,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_scientific_reports_submission_bundle.py,03_scripts/Python/build_scientific_reports_submission_bundle.py,code,py,43406,fa3449082ce9e598685de3694a0094cf17cee2d4563dd8788888e3c7a2925b32,ready,Copied into standalone repository-release package.
TMEM158_CaUPR_ESCC/03_scripts/Python/build_submission_archive_package.py,03_scripts/Python/build_submission_archive_package.py,code,py,65256,24b287814733aad6cae2469be4e743594fd43386318e4dbefddb8cfab6761fca,ready,Copied into standalone repository-release package.
