"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"Core_CAF_interaction","REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL",10,0.504092000228794,0.111808754130726,0.392283246098068,0.73281281991534,"positive",0.11546859212288,"SLC27A2;CYP27A1;AKR1C4;AMACR;SLC27A5;AKR1C3;CYP46A1;AKR1C1;AKR1D1;CYP39A1",0.210362780558411
"Core_CAF_interaction","REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY",24,0.392356190223092,0.111581309488023,0.280774880735069,0.328610645798497,"positive",0.116133683161525,"HSP90AA1;PAK2;VAV2;MAPKAP1;CTNNB1;CALM1;TRIB3;AKT1;MLST8;CTNNA1",0.211318312096576
"Core_CAF_interaction","REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",14,0.509174967929993,0.111676108608147,0.397498859321846,0.615368977822929,"positive",0.116916433948732,"PTK2;RAP1B;FN1;CRK;FGA;SRC;ITGB3;FGG;TLN1;RAP1A",0.212145930028112
"Core_CAF_interaction","REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA",33,-0.0487398203203483,0.112555569990276,-0.161295390310624,0.0649219243790854,"negative",0.116917725421631,"HUS1;RAD50;RBBP8;RAD17;ABL1;NBN;KAT5;RAD51;DNA2;BLM",0.212145930028112
"Core_CAF_interaction","REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY",20,0.398627157551501,0.111662027948895,0.286965129602606,0.482624399730628,"positive",0.117011960075386,"USP8;PTPRJ;STAM2;UBB;UBC;MET;GRB2;RPS27A;HGS;STAM",0.212145930028112
"Core_CAF_interaction","REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION",8,0.733753342743667,0.111723664876933,0.622029677866734,0.360024007449271,"positive",0.118094090210872,"SMC3;RAD21;WAPL;PDS5B;STAG2;PDS5A;STAG1;SMC1A",0.213849900707158
"Core_CAF_interaction","REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION",12,0.481373458705444,0.111767361505086,0.369606097200358,0.633250777785339,"positive",0.11957008882292,"HEXB;SLC9A1;CHP1;HEXA;HYAL1;HYAL3;HMMR;HYAL2;LYVE1;CD44",0.216017820942963
"Core_CAF_interaction","REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE",36,0.341525785256412,0.11145660080445,0.230069184451961,0.450582238721872,"positive",0.119578727228573,"GAB1;FGF6;ERLIN2;FGF4;HRAS;BAG4;CPSF6;ZMYM2;FGF8;GRB2",0.216017820942963
"Core_CAF_interaction","REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",13,-0.312129403282997,0.112571593017065,-0.424700996300062,-0.0593674987577905,"negative",0.119921842825118,"GATA4;HIPK1;YAP1;TEAD4;TEAD1;RUNX2;TEAD3;WWTR1;NPPA;HIPK2",0.216171012062946
"Core_CAF_interaction","REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",81,0.225673641249626,0.111377806623152,0.114295834626474,0.354077404330083,"positive",0.119951180346305,"APH1A;ARHGEF40;PSEN1;TRAF6;ARHGDIA;NCSTN;SMPD2;VAV2;GNA13;AKAP13",0.216171012062946
