"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"TAC_high_adjusted_for_CAF","REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",38,-0.287231357788634,0.566000883571787,-0.853232241360421,-0.317632195680281,"negative",0.000467691264661372,"C1QBP;F12;SERPINE2;F2;F3;THBD;SERPIND1;FGA;F2R;PROCR",0.00182734817525582
"TAC_high_adjusted_for_CAF","REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",18,1.77897008254099,0.561611927840264,1.21735815470073,1.44825312068224,"positive",0.000468394838530952,"UBC;UBE2S;CCNB1;CDK1;RPS27A;CDC27;CDC16;ANAPC10;CDC23;UBE2C",0.00182734817525582
"TAC_high_adjusted_for_CAF","REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION",26,1.59315132144988,0.561214681810698,1.03193663963918,1.61745188953148,"positive",0.000469625146404715,"BRD1;GATAD2A;MBD3;PIN1;MTA2;AKT1;RBBP7;PIP4K2C;EP300;HDAC2",0.00182740147642457
"TAC_high_adjusted_for_CAF","REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE",39,1.40838352009856,0.56071154332414,0.847671976774425,1.36214790875995,"positive",0.0004860951585849,"UBC;KDM4B;UBE2V2;PIAS4;PPP5C;BAP1;RNF8;UBE2N;UBXN1;KPNA2",0.00188660188163958
"TAC_high_adjusted_for_CAF","REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",27,1.55193237057684,0.561221236901277,0.990711133675566,1.57371731848084,"positive",0.000496264883579016,"POLR2F;POLR2E;POLR1D;GSK3B;DDX21;POLR2H;ERCC6;EP300;TAF1A;POLR1E",0.00192110787406104
"TAC_high_adjusted_for_CAF","REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS",20,1.70983268208941,0.561526817136349,1.14830586495306,1.67264178493002,"positive",0.000511584977282612,"EIF4A3;EIF4G1;CNOT4;POLR2D;BTG4;PABPC1;PAIP1;EIF4B;CNOT2;CNOT8",0.00197532297140998
"TAC_high_adjusted_for_CAF","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",16,-0.992106202795441,0.56539484088416,-1.5575010436796,-0.724390694284607,"negative",0.00051433125306216,"HBA2;LRP1;HBB;APOL1;ALB;AMBP;HPR;HPX;HP;APOA1",0.0019808347233317
"TAC_high_adjusted_for_CAF","REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1",47,1.34488343039778,0.56040368054961,0.784479749848165,1.54455317737852,"positive",0.000517602613258474,"UBC;CDK7;SKP1;MNAT1;CDKN2D;CUL1;CDKN1A;E2F4;CDK4;PPP2CB",0.00198833535834841
"TAC_high_adjusted_for_CAF","REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION",46,1.35536433309081,0.560428194756354,0.794936138334451,1.57840180728874,"positive",0.000522982706736284,"DRG1;RPL8;ARSJ;ZC3H15;EIF5A2;RPS23;U2AF2;JMJD6;FN3KRP;OGFOD1",0.00200387761611709
"TAC_high_adjusted_for_CAF","REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",55,-0.116861006112841,0.56641748225422,-0.683278488367061,-0.182393483777963,"negative",0.00053485704815023,"CYP26A1;CYP4F11;CYP4F3;RXRA;AHR;POMC;CYP19A1;FDXR;POR;CYP24A1",0.00204416103389732
"TAC_high_adjusted_for_CAF","REACTOME_NUCLEAR_RNA_DECAY",26,1.60986265682171,0.561179511443234,1.04868314537848,1.57799906769235,"positive",0.000536493180877467,"EXOSC4;NCBP2;EXOSC7;MPHOSPH6;ZC3H3;EXOSC2;C1D;NCBP1;EXOSC5;ZC3H4",0.00204521004486791
"TAC_high_adjusted_for_CAF","REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",16,1.80967776036518,0.561769109453349,1.24790865091183,1.93224953980262,"positive",0.000549490731928495,"GSK3B;CSNK1A1;PPP2CB;PPP2R5A;PPP2CA;PPP2R5C;PPP2R1A;FRAT2;PPP2R5E;PPP2R5B",0.00208625553280219
