"model","gene","n_datasets","combined_z","meta_p","mean_logFC","median_logFC","positive_nominal","negative_nominal","positive_fdr","negative_fdr","sign_consistency","meta_FDR"
"TAC_high_adjusted_for_CAF","USP47",4,1.12160436267438,0.262030695886228,-0.0967547115679923,-0.0481121081122361,0,0,0,0,0.5,0.467914630691435
"TAC_high_adjusted_for_CAF","DDIT4",4,1.12158307218012,0.262039752389638,-0.417124934442873,-0.524773703050091,1,0,0,0,0.75,0.467914630691435
"TAC_high_adjusted_for_CAF","ZBTB7A",4,1.12092417438023,0.262320139797669,-0.0758675023516287,0.0194432969420505,1,1,0,0,0.5,0.468241708406656
"TAC_high_adjusted_for_CAF","NAPA",4,1.12091210713513,0.262325276825524,0.105269835548818,0.103086029356217,0,0,0,0,0.75,0.468241708406656
"TAC_high_adjusted_for_CAF","ADI1",4,1.12088600560007,0.262336388490191,0.0360460791859175,0.0493720230739167,0,0,0,0,0.5,0.468241708406656
"TAC_high_adjusted_for_CAF","USH2A",4,-1.12068209936873,0.262423204447048,-0.327198089561246,-0.149198337197876,0,0,0,0,1,0.468319118948071
"TAC_high_adjusted_for_CAF","COX15",4,1.12060645588803,0.262455415772352,-0.140594260236639,-0.0729304760028426,0,0,0,0,0.5,0.468319118948071
"TAC_high_adjusted_for_CAF","CRELD2",4,1.11986945716254,0.262769395454214,0.0915575528188632,0.060676578185824,0,0,0,0,0.75,0.46881180511935
"TAC_high_adjusted_for_CAF","FAM118A",4,1.1196921556944,0.262844968948278,0.0673311997016061,0.0916256118372195,0,0,0,0,0.75,0.468879065645488
"TAC_high_adjusted_for_CAF","SCPEP1",4,1.11957852112558,0.262893412767741,-0.276261251734748,-0.156839055654107,0,0,0,0,0.5,0.468897918176723
"TAC_high_adjusted_for_CAF","MYO1D",4,1.11919750783568,0.263055888417282,0.286047240217548,0.0657047532766137,1,0,0,0,0.75,0.469114794483402
"TAC_high_adjusted_for_CAF","TBCC",4,-1.11911567594932,0.263090793061249,0.174191946066798,0.125577131453051,0,0,0,0,0.5,0.469114794483402
"TAC_high_adjusted_for_CAF","ARHGEF11",4,1.11876990250552,0.263238314858038,0.019098588258553,0.109474025903422,0,0,0,0,0.75,0.469310244519371
"TAC_high_adjusted_for_CAF","GPATCH2L",4,1.11865479881445,0.263287435697283,-0.209320033832251,-0.21925412376955,1,0,0,0,0.75,0.469330230947785
"TAC_high_adjusted_for_CAF","KLF2",4,-1.11848889298892,0.263358247626038,-0.0318310532046898,-0.138635179562754,0,0,0,0,0.5,0.46938887210054
"TAC_high_adjusted_for_CAF","MYL7",4,-1.11833641430581,0.263423340170552,-0.318877825423865,-0.104421633850262,0,0,0,0,0.75,0.469437304060952
"TAC_high_adjusted_for_CAF","TSNAXIP1",4,-1.11820352031371,0.263480081141768,-0.116047602526587,-0.130253694136734,0,0,0,0,0.75,0.469470841182367
"TAC_high_adjusted_for_CAF","KRI1",4,1.11805658737783,0.263542826054523,-0.162706494324651,-0.224484538668526,0,0,0,0,0.75,0.469515064981292
"TAC_high_adjusted_for_CAF","VSTM4",4,-1.11794513268008,0.263590427536563,-0.029376005753033,-0.118244413482661,0,0,0,0,0.75,0.469532301137071
"TAC_high_adjusted_for_CAF","RASGRP1",4,-1.11780893477124,0.26364860471509,-0.448514688806131,-0.224908447701343,0,0,0,0,1,0.469553172440385
"TAC_high_adjusted_for_CAF","SMARCC2",4,1.11774012290056,0.263678001195925,0.0486632488490441,0.160457687920889,0,0,0,0,0.75,0.469553172440385
"TAC_high_adjusted_for_CAF","ITIH2",4,-1.11692902819572,0.264024671848079,-0.0885645780781406,-0.0879711080914933,0,0,0,0,0.75,0.470102896228853
"TAC_high_adjusted_for_CAF","GTF3C1",4,1.11677783480698,0.26408932828018,-0.0412369529448005,-0.079110151356455,0,0,0,0,0.75,0.470150400360747
"TAC_high_adjusted_for_CAF","HPSE2",4,-1.11652288443518,0.264198380139323,-0.176747366146992,-0.136211438306732,0,0,0,0,0.5,0.470215113624458
"TAC_high_adjusted_for_CAF","ANKEF1",4,1.11651525925246,0.264201642194809,-0.0529386656984863,-0.0509302223835567,0,0,0,0,0.5,0.470215113624458
"TAC_high_adjusted_for_CAF","PSMB2",4,1.11633896183781,0.26427707002638,-0.0280519302388091,0.0519550747510799,0,0,0,0,0.5,0.470281748875462
"TAC_high_adjusted_for_CAF","HSD17B4",4,-1.11592434034815,0.264454521955213,-0.35282595026428,-0.42605505367083,0,0,0,0,0.75,0.470529891032701
