"model","gene","n_datasets","combined_z","meta_p","mean_logFC","median_logFC","positive_nominal","negative_nominal","positive_fdr","negative_fdr","sign_consistency","meta_FDR"
"TAC_high_adjusted_for_CAF","CHST7",4,6.62691539683833,3.42773953622417e-11,1.6033165583318,1.55264085907265,3,0,1,0,1,3.33692630227267e-07
"TAC_high_adjusted_for_CAF","TMEM158",4,6.55972156275878,5.39083409090899e-11,1.72453941087767,1.73751023865916,1,0,1,0,1,3.33692630227267e-07
"TAC_high_adjusted_for_CAF","PTDSS1",4,5.6517486342535,1.58823738303222e-08,0.706174484001168,0.778834176173893,3,0,1,0,1,6.55412626731296e-05
"TAC_high_adjusted_for_CAF","MAFG",4,5.44153820920354,5.28224600131421e-08,0.541600284023741,0.678667732747706,1,0,1,0,0.75,0.00015234502029624
"TAC_high_adjusted_for_CAF","SPRYD7",4,5.36380959787687,8.14847979916633e-08,0.605651008739582,0.546207559422894,1,0,1,0,1,0.00015234502029624
"TAC_high_adjusted_for_CAF","ABCC1",4,5.35792920352261,8.41812116948442e-08,1.15202589900628,0.853948418341466,2,0,1,0,1,0.00015234502029624
"TAC_high_adjusted_for_CAF","HK1",4,5.35377038713426,8.61401568718645e-08,0.926055546173687,0.74293783579345,2,0,1,0,1,0.00015234502029624
"TAC_high_adjusted_for_CAF","NFE2L2",4,5.2944693040744,1.19362535993669e-07,0.586597338937327,0.656044624038909,1,0,1,0,1,0.000167487892071726
"TAC_high_adjusted_for_CAF","TALDO1",4,5.2537609561129,1.49024275201725e-07,0.76890572988153,0.819021286441714,1,0,1,0,1,0.000167487892071726
"TAC_high_adjusted_for_CAF","BDNF",4,5.24955733308052,1.52465142873931e-07,1.4071990988803,1.31002745983289,1,0,1,0,1,0.000167487892071726
"TAC_high_adjusted_for_CAF","OSGIN1",4,5.23936627052833,1.61128958403099e-07,1.41364555417965,1.29959613444891,1,0,1,0,1,0.000167487892071726
"TAC_high_adjusted_for_CAF","CYP26A1",4,5.23797629688012,1.62346906693111e-07,2.75483678713406,2.35758682243296,2,0,1,0,1,0.000167487892071726
"TAC_high_adjusted_for_CAF","WNT5A",4,5.18703325870402,2.13670583235253e-07,1.44016520591107,1.46225414046572,1,0,1,0,1,0.000203480140034802
"TAC_high_adjusted_for_CAF","TUFT1",4,5.16652662935229,2.38484238609255e-07,0.813733105878182,0.682774302213451,1,0,1,0,1,0.00021088820528447
"TAC_high_adjusted_for_CAF","DUSP14",4,5.10199073022193,3.36099217475794e-07,0.754202301145187,0.807192930863373,1,0,1,0,1,0.000268664198597348
"TAC_high_adjusted_for_CAF","SCAMP1",4,5.09582622926148,3.47223519996573e-07,0.601480024987997,0.623265514700529,2,0,1,0,1,0.000268664198597348
"TAC_high_adjusted_for_CAF","ADM",4,5.0744103222835,3.88699489776766e-07,0.564955100684013,0.323597584332073,1,0,1,0,1,0.000283064687260963
"TAC_high_adjusted_for_CAF","TOMM22",4,5.05331421381654,4.34208674730321e-07,0.479417286828481,0.499572483223001,2,0,1,0,1,0.000298639077397854
"TAC_high_adjusted_for_CAF","ABHD17B",4,5.03725606415555,4.72252825998882e-07,0.368346255866746,0.456597000593195,1,0,1,0,1,0.000300940144779539
"TAC_high_adjusted_for_CAF","SLC48A1",4,5.02321453938679,5.0813728303217e-07,0.507872757122515,0.576450724500324,1,0,1,0,1,0.000300940144779539
"TAC_high_adjusted_for_CAF","NEFL",4,5.02233139134032,5.10480051726197e-07,3.14659690048427,2.88384479318804,2,0,1,0,0.75,0.000300940144779539
"TAC_high_adjusted_for_CAF","GPRC5D",4,4.99448533133805,5.89928749532342e-07,1.19381454554305,1.28244641436183,2,0,1,0,1,0.000331968996327745
"TAC_high_adjusted_for_CAF","PSMD11",4,4.95627088602243,7.18590131930708e-07,0.430414027511706,0.523993454175895,1,0,1,0,1,0.000379827558093436
"TAC_high_adjusted_for_CAF","ABCB6",4,4.95019309596436,7.41398853832707e-07,0.43570939138141,0.290848087663308,1,0,1,0,1,0.000379827558093436
"TAC_high_adjusted_for_CAF","GSTO1",4,4.94357747121591,7.67018493726647e-07,0.492704087373514,0.535691049118388,1,0,1,0,1,0.000379827558093436
"TAC_high_adjusted_for_CAF","KCMF1",4,4.90131932381176,9.51951754241911e-07,0.248594563198,0.250277737552092,1,0,1,0,1,0.000438717612197984
"TAC_high_adjusted_for_CAF","SLC3A2",4,4.90031822815743,9.56815470867977e-07,0.518530615042131,0.535506678268017,2,0,1,0,1,0.000438717612197984
"TAC_high_adjusted_for_CAF","NTRK2",4,4.87262419338306,1.10125584018803e-06,1.64122254309713,1.74104161621741,1,0,1,0,1,0.000471598552376212
"TAC_high_adjusted_for_CAF","FOXD1",4,4.87200496967412,1.10471389490389e-06,1.71740669608363,1.13645620532498,2,0,1,0,1,0.000471598552376212
"TAC_high_adjusted_for_CAF","CD1D",4,-4.86476709492616,1.14591664882827e-06,-0.696683832852291,-0.670379870390199,0,1,0,1,1,0.0004728816037498
"TAC_high_adjusted_for_CAF","HBEGF",4,4.85565486114026,1.19989537316346e-06,0.908213968329506,0.737757164615594,1,0,1,0,1,0.000479184023218182
"TAC_high_adjusted_for_CAF","HS1BP3",4,4.84221061741737,1.28402555844452e-06,0.440403900002439,0.415918870048112,2,0,1,0,1,0.000496757387923224
"TAC_high_adjusted_for_CAF","AKR1C1",4,4.83502306075457,1.33130200816627e-06,2.74337970003049,2.36365449003745,2,0,1,0,1,0.000499439965487833
"TAC_high_adjusted_for_CAF","ST13",4,4.82549009038525,1.39659409355225e-06,0.228978544117794,0.288862332346759,1,0,1,0,0.75,0.000503755205035324
"TAC_high_adjusted_for_CAF","RIT1",4,4.81965171005033,1.43809059790081e-06,0.917175175734071,0.828076764545178,1,0,1,0,1,0.000503755205035324
"TAC_high_adjusted_for_CAF","SCN9A",4,4.81596829712143,1.46487781755022e-06,2.60824453366219,1.73526617396786,2,0,1,0,1,0.000503755205035324
"TAC_high_adjusted_for_CAF","VDAC2",4,4.80919921435299,1.51536128494245e-06,0.340634916019957,0.413792310934685,2,0,1,0,0.75,0.000507031694799663
"TAC_high_adjusted_for_CAF","TXNRD1",4,4.78696585592693,1.69321626724775e-06,1.21310203697527,1.11372165691823,2,0,1,0,1,0.000542084902062975
"TAC_high_adjusted_for_CAF","FTH1",4,4.78222888180568,1.73362121486871e-06,0.480089208779483,0.633414957952365,1,0,1,0,0.75,0.000542084902062975
"TAC_high_adjusted_for_CAF","GPI",4,4.78016820301111,1.75148595173821e-06,0.472582200160295,0.390016561801815,2,0,1,0,0.75,0.000542084902062975
"TAC_high_adjusted_for_CAF","CYC1",4,4.77419659048509,1.8042606986521e-06,0.578691394942012,0.577203652094006,2,0,1,0,0.75,0.000544798718275928
"TAC_high_adjusted_for_CAF","NDUFA6",4,4.76083666854108,1.92792030955131e-06,0.320339162692688,0.357010486430461,1,0,1,0,1,0.000563932422379448
"TAC_high_adjusted_for_CAF","CRKL",4,4.74835664927411,2.05076165256561e-06,0.329070684866539,0.326755807814473,1,0,1,0,1,0.000563932422379448
"TAC_high_adjusted_for_CAF","PRPF4",4,4.74778562011997,2.05655850296446e-06,0.806115553508677,0.726605143823602,2,0,1,0,1,0.000563932422379448
"TAC_high_adjusted_for_CAF","ATXN10",4,4.74683895609768,2.06620333275954e-06,0.189405170819721,0.29481070546269,1,0,1,0,0.75,0.000563932422379448
"TAC_high_adjusted_for_CAF","SLC7A8",4,4.74400013986339,2.09538702984286e-06,1.18281231910876,0.939955417509955,2,0,1,0,1,0.000563932422379448
"TAC_high_adjusted_for_CAF","CORO1C",4,4.73280894587319,2.21433897186972e-06,0.43596105761562,0.482991398310045,1,0,1,0,1,0.000583266307909512
"TAC_high_adjusted_for_CAF","GCLC",4,4.72281777106608,2.32599250491281e-06,1.19171462616896,1.04472439023743,1,0,1,0,1,0.000599912233558762
"TAC_high_adjusted_for_CAF","SLC44A1",4,4.71633714073601,2.40128410165901e-06,0.656333038128487,0.65188421710729,2,0,1,0,1,0.000606691779153847
"TAC_high_adjusted_for_CAF","PIR",4,4.70016452080415,2.59951978045323e-06,0.794390926491493,0.929258134664473,1,0,1,0,1,0.000639770345542131
"TAC_high_adjusted_for_CAF","PLEKHA1",4,4.69622658932609,2.65011553469058e-06,0.465129208371075,0.583540882917939,1,0,1,0,0.75,0.000639770345542131
"TAC_high_adjusted_for_CAF","ACTR3",4,4.69258900449407,2.69769106100027e-06,0.543195517864738,0.511549025180758,1,0,1,0,1,0.000639770345542131
"TAC_high_adjusted_for_CAF","NSMAF",4,4.68948613600276,2.73891989610121e-06,0.390810717889486,0.587835189287665,2,0,1,0,0.75,0.000639770345542131
"TAC_high_adjusted_for_CAF","CBR1",4,4.68524858382174,2.79620349206956e-06,1.07649086812801,1.0428006862059,2,0,1,0,1,0.000641055541330022
"TAC_high_adjusted_for_CAF","ZNF706",4,4.67358833674637,2.95982311992071e-06,0.612989228507475,0.63526520501736,1,0,1,0,1,0.000665417068040362
"TAC_high_adjusted_for_CAF","PLA2R1",4,4.6701387172924,3.00996412037644e-06,0.938125216609502,0.910804318474318,1,0,1,0,0.75,0.000665417068040362
"TAC_high_adjusted_for_CAF","PCYT1A",4,4.65704030699966,3.20787658406015e-06,0.596739930413843,0.714824692370968,1,0,1,0,1,0.000696728282643239
"TAC_high_adjusted_for_CAF","RAB3B",4,4.64640206551943,3.37774374449821e-06,1.89491652136719,1.56640266755165,2,0,1,0,1,0.000711432334645991
"TAC_high_adjusted_for_CAF","UBE2H",4,4.64562344802448,3.39050951083308e-06,0.497061265157485,0.496763149162433,2,0,1,0,0.75,0.000711432334645991
"TAC_high_adjusted_for_CAF","XPA",4,4.63569403783993,3.55741836166115e-06,0.787699810537099,0.731291403968,3,0,1,0,1,0.00073401398862275
"TAC_high_adjusted_for_CAF","SLC7A11",4,4.63225487640731,3.61704469629326e-06,1.62377261897956,1.39256456949481,1,0,1,0,1,0.000734082185903451
"TAC_high_adjusted_for_CAF","CCDC177",4,4.628228774041,3.68806473574046e-06,0.931267679241344,0.911614723048158,2,0,1,0,0.5,0.00073642324884624
"TAC_high_adjusted_for_CAF","PC",4,4.619830987889,3.84052759836443e-06,0.652182538365468,0.883473844059089,1,0,1,0,0.75,0.000754694153456376
"TAC_high_adjusted_for_CAF","WNT7B",4,4.59222295767349,4.38549476818706e-06,1.61439932825362,1.74787414750098,1,0,1,0,1,0.000835522834896548
"TAC_high_adjusted_for_CAF","MEGF9",4,4.59215933336385,4.38683233184779e-06,0.672097346412329,0.645002657277603,1,0,1,0,1,0.000835522834896548
"TAC_high_adjusted_for_CAF","GPD2",4,4.57768081454485,4.70159348982531e-06,0.417182795152402,0.491167720146278,1,0,1,0,1,0.000881904960667232
"TAC_high_adjusted_for_CAF","AKR1C3",4,4.55972933748219,5.12195933494412e-06,2.31794027876786,1.68266641697753,2,0,1,0,1,0.000946415769650869
"TAC_high_adjusted_for_CAF","GLI2",4,4.55468620138692,5.2463835674814e-06,1.86439335895627,1.38278522523348,2,0,1,0,1,0.000955150420079702
"TAC_high_adjusted_for_CAF","CCR2",4,-4.53916548814193,5.64772993882948e-06,-0.817455429336391,-0.78925895188192,0,2,0,1,1,0.00101331734264796
"TAC_high_adjusted_for_CAF","SLC6A8",4,4.5355479353122,5.74541266167937e-06,0.787056289690275,0.851955725414468,2,0,1,0,1,0.00101611726787986
"TAC_high_adjusted_for_CAF","TSKU",4,4.5294806984285,5.91288353705984e-06,0.519928219411978,0.567573176698624,1,0,1,0,0.75,0.00103100701674367
"TAC_high_adjusted_for_CAF","BAG3",4,4.51865654135369,6.22332526155489e-06,0.314523379515621,0.531264836830343,1,0,1,0,0.75,0.00107006620469513
"TAC_high_adjusted_for_CAF","STC2",4,4.51391328333261,6.36422476991645e-06,1.24628362265223,1.18487243448268,2,0,1,0,1,0.00107930277604884
"TAC_high_adjusted_for_CAF","IL10RA",4,-4.51083013257752,6.45744173231219e-06,-1.18178205710632,-1.14630939642351,0,1,0,1,1,0.00108031254927061
"TAC_high_adjusted_for_CAF","FUT1",4,4.50321473988074,6.69331904475115e-06,0.95952962911554,0.917237241288082,1,0,1,0,1,0.00110484386365359
"TAC_high_adjusted_for_CAF","RALB",4,4.49840940404822,6.84637598521941e-06,0.594498541430334,0.549050325001446,1,0,1,0,1,0.00110640056229338
"TAC_high_adjusted_for_CAF","GLRX3",4,4.49732148116176,6.88148976547582e-06,0.257201861929725,0.363831332718085,1,0,1,0,0.75,0.00110640056229338
"TAC_high_adjusted_for_CAF","PTK2",4,4.47692871503016,7.57245198224216e-06,0.421992260447776,0.347022642421018,2,0,1,0,0.75,0.00120188404538664
"TAC_high_adjusted_for_CAF","GCLM",4,4.4697229482793,7.83209819355128e-06,1.11329899738015,1.22096715281429,1,0,1,0,1,0.00122735918526791
"TAC_high_adjusted_for_CAF","HLA-DPA1",4,-4.46224092718552,8.11069595202205e-06,-1.30794816498664,-1.38475538315258,0,1,0,1,1,0.00125513019857541
"TAC_high_adjusted_for_CAF","SPATA2L",4,4.45904906460272,8.2324076316068e-06,0.383057779330383,0.502827590712888,1,0,1,0,0.75,0.0012582371170283
"TAC_high_adjusted_for_CAF","HAP1",4,4.44173453216467,8.923661188192e-06,1.18250002441525,1.41753164154711,1,0,1,0,1,0.00133963300029561
"TAC_high_adjusted_for_CAF","PRKX",4,4.44034723004845,8.98138441232115e-06,0.720676480843044,0.756507640950504,1,0,1,0,1,0.00133963300029561
"TAC_high_adjusted_for_CAF","TTLL12",4,4.43706886734439,9.11921249514124e-06,0.346228101433599,0.312414059777269,1,0,1,0,0.75,0.0013439982224982
"TAC_high_adjusted_for_CAF","MPP3",4,4.43147119237894,9.35923184603944e-06,0.917220283593421,0.736268147477883,1,0,1,0,1,0.00136314459122316
"TAC_high_adjusted_for_CAF","FSTL4",4,4.40871541459187,1.03985558649786e-05,1.45489179773748,1.72642487969277,2,0,1,0,0.75,0.00149690839079575
"TAC_high_adjusted_for_CAF","BFSP1",4,4.40271095506605,1.06906555045907e-05,0.957100557249495,0.97631571438386,2,0,1,0,1,0.00152126799019349
"TAC_high_adjusted_for_CAF","ARTN",4,4.38972532583568,1.13493924612072e-05,1.49848288848934,1.70931617241977,1,0,1,0,1,0.00159665316670165
"TAC_high_adjusted_for_CAF","PRICKLE3",4,4.38106156853202,1.18102490366905e-05,0.24833987349861,0.39708610623117,1,0,1,0,0.75,0.00164281891094638
"TAC_high_adjusted_for_CAF","CAMSAP2",4,4.37437596554524,1.21780340774056e-05,0.53873888069509,0.435152740684222,2,0,1,0,1,0.00167515624309201
"TAC_high_adjusted_for_CAF","BPGM",4,4.36935244649711,1.24615506636782e-05,0.443754798382577,0.526618921886583,1,0,1,0,0.75,0.0016807565930676
"TAC_high_adjusted_for_CAF","ACTG1",4,4.36884958828233,1.24902751665767e-05,0.262883601817036,0.210512777301009,2,0,1,0,0.5,0.0016807565930676
"TAC_high_adjusted_for_CAF","ADAM23",4,4.36251954791638,1.2857309389789e-05,1.62159052863096,1.70637015406187,1,0,1,0,0.75,0.00171154290586653
"TAC_high_adjusted_for_CAF","ADORA3",4,-4.35861048477659,1.30890838589846e-05,-0.631651251187389,-0.600231887140643,0,1,0,1,1,0.00172386019334287
"TAC_high_adjusted_for_CAF","SC5D",4,4.35391688271872,1.33726426230923e-05,0.361035569365091,0.508012729047594,1,0,1,0,0.75,0.00174266648077772
"TAC_high_adjusted_for_CAF","ABCC5",4,4.33985138623739,1.42579107939046e-05,0.622850263810221,1.0030252765923,1,0,1,0,0.75,0.00183867641279728
"TAC_high_adjusted_for_CAF","TMEM14A",4,4.33539724107221,1.45497131612816e-05,0.529864507087764,0.607852215753307,1,0,1,0,1,0.00185696339109965
"TAC_high_adjusted_for_CAF","BTBD2",4,4.32172772090157,1.54812160241586e-05,0.320590228938572,0.434584354628253,1,0,1,0,0.75,0.00195568830999065
