"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P17T","Tumor","Fibroblast",127,326.304077407503,502.278013993144,0.649648338802176,194
"Core_CAF_interaction_positive_top200","P17T","Tumor","Myeloid",88,-85.6590157184427,466.563530148686,-0.183595609564993,180
"Core_CAF_interaction_positive_top200","P17T","Tumor","Tcell",1023,-28.5725271894527,466.563530148686,-0.0612403785189706,180
"Core_CAF_interaction_positive_top200","P19T","Tumor","Epithelial",182,-57.8941002552796,502.278013993144,-0.115263058788932,194
"Core_CAF_interaction_positive_top200","P19T","Tumor","Fibroblast",269,314.19341149129,502.278013993144,0.625536859544042,194
"Core_CAF_interaction_positive_top200","P19T","Tumor","Myeloid",316,-143.031872529883,466.563530148686,-0.306564622580555,180
"Core_CAF_interaction_positive_top200","P19T","Tumor","Tcell",762,-106.697600376158,466.563530148686,-0.228688256757136,180
"Core_CAF_interaction_positive_top200","P1T","Tumor","Epithelial",244,-125.559719267774,502.278013993144,-0.249980520289083,194
"Core_CAF_interaction_positive_top200","P1T","Tumor","Fibroblast",77,188.366919384647,502.278013993144,0.375025213401473,194
"Core_CAF_interaction_positive_top200","P1T","Tumor","Myeloid",164,-174.725949107998,466.563530148686,-0.374495514152843,180
"Core_CAF_interaction_positive_top200","P1T","Tumor","Tcell",533,-69.5717529976518,466.563530148686,-0.14911528334733,180
"Core_CAF_interaction_positive_top200","P20T","Tumor","Epithelial",469,37.4839749815705,502.278013993144,0.0746279429664268,194
"Core_CAF_interaction_positive_top200","P20T","Tumor","Fibroblast",390,48.5865604534393,502.278013993144,0.0967324053608735,194
"Core_CAF_interaction_positive_top200","P20T","Tumor","Myeloid",447,-326.232373267216,466.563530148686,-0.69922390454147,180
"Core_CAF_interaction_positive_top200","P20T","Tumor","Tcell",830,-193.62786244189,466.563530148686,-0.415008567815371,180
"Core_CAF_interaction_positive_top200","P21T","Tumor","Epithelial",643,190.94928491424,502.278013993144,0.380166520521535,194
"Core_CAF_interaction_positive_top200","P21T","Tumor","Fibroblast",1082,155.781828405628,502.278013993144,0.310150601988632,194
"Core_CAF_interaction_positive_top200","P21T","Tumor","Myeloid",280,-283.572604199667,466.563530148686,-0.607789906144824,180
"Core_CAF_interaction_positive_top200","P21T","Tumor","Tcell",681,-199.530560399263,466.563530148686,-0.427660002348826,180
"Core_CAF_interaction_positive_top200","P22T","Tumor","Epithelial",590,56.6645595910045,502.278013993144,0.112815130291126,194
"Core_CAF_interaction_positive_top200","P22T","Tumor","Fibroblast",2921,64.6088721698557,502.278013993144,0.128631694738559,194
"Core_CAF_interaction_positive_top200","P22T","Tumor","Myeloid",342,-189.511138499289,466.563530148686,-0.406185066455784,180
"Core_CAF_interaction_positive_top200","P22T","Tumor","Tcell",1649,-278.09886362194,466.563530148686,-0.596057869189464,180
"Core_CAF_interaction_positive_top200","P23T","Tumor","Epithelial",951,27.9252519392398,502.278013993144,0.0555972014726111,194
"Core_CAF_interaction_positive_top200","P23T","Tumor","Fibroblast",331,229.23744783174,502.278013993144,0.456395544788605,194
