"signature","compartment","feature","n","rho","p.value","FDR"
"TAC_high_positive_top50","Epithelial","core_axis_state_score",60,0.21611558766324,0.0972187608351693,0.241370716556282
"TAC_high_positive_top50","Epithelial","perk_caf_ecology_score",60,0.328424562378438,0.0107148003489255,0.0642888020935532
"TAC_high_positive_top50","Epithelial","CAF_score",60,0.170714087246457,0.191698683385399,0.394351577249964
"TAC_high_positive_top50","Epithelial","TMEM158",60,0.562757109006158,2.8667915872983e-06,5.16022485713694e-05
"TAC_high_positive_top50","Epithelial","Ca2_axis_score",60,-0.0216171158655182,0.86954211116775,0.95404075141259
"TAC_high_positive_top50","Epithelial","PERK_bias_index",60,0.00261183662128369,0.9843174743228,0.996795849262687
"TAC_high_positive_top50","Fibroblast","core_axis_state_score",60,-0.0327868852459016,0.803173527938706,0.903570218931044
"TAC_high_positive_top50","Fibroblast","perk_caf_ecology_score",60,0.596832453459294,8.56462729786686e-07,2.05551055148805e-05
"TAC_high_positive_top50","Fibroblast","CAF_score",60,0.962823006390664,0,0
"TAC_high_positive_top50","Fibroblast","TMEM158",60,0.303891062320888,0.0182485205063238,0.101068728958101
"TAC_high_positive_top50","Fibroblast","Ca2_axis_score",60,-0.149430397332592,0.253753165758745,0.479403854526155
"TAC_high_positive_top50","Fibroblast","PERK_bias_index",60,-0.127979994442901,0.328908637617695,0.592035547711851
"TAC_high_positive_top50","Myeloid","core_axis_state_score",60,0.110197277021395,0.40093505852358,0.635047605240886
"TAC_high_positive_top50","Myeloid","perk_caf_ecology_score",60,0.0401222561822729,0.760303300160996,0.888129596160901
"TAC_high_positive_top50","Myeloid","CAF_score",60,-0.0072242289524868,0.956343633927778,0.993716603662552
"TAC_high_positive_top50","Myeloid","TMEM158",60,0.240744867552911,0.0638925521874518,0.170380139166538
"TAC_high_positive_top50","Myeloid","Ca2_axis_score",60,0.0671853292581273,0.609150765739658,0.783193841665275
"TAC_high_positive_top50","Myeloid","PERK_bias_index",60,-0.0552375659905529,0.6743322793905,0.837102139933034
"TAC_high_positive_top50","Tcell","core_axis_state_score",60,0.105362600722423,0.42201300315997,0.636914761058459
"TAC_high_positive_top50","Tcell","perk_caf_ecology_score",60,0.235065295915532,0.0707674298606137,0.18197339107015
"TAC_high_positive_top50","Tcell","CAF_score",60,0.292581272575716,0.0236417292249604,0.11348030027981
"TAC_high_positive_top50","Tcell","TMEM158",60,0.436464719470205,0.000489725566006656,0.00440753009405991
"TAC_high_positive_top50","Tcell","Ca2_axis_score",60,0.0207835509863851,0.87453735546154,0.95404075141259
"TAC_high_positive_top50","Tcell","PERK_bias_index",60,-0.0956376771325368,0.466286161939406,0.682735154808223
