compartment,gene,observed
Tcell,NDUFAF7,True
Tcell,NID2,False
Tcell,NOX4,False
Tcell,NPM3,True
Tcell,NRP2,True
Tcell,NT5C,True
Tcell,NUAK1,True
Tcell,NXPE3,True
Tcell,OLFML1,False
Tcell,OLFML2B,True
Tcell,OLFML3,True
Tcell,OPLAH,True
Tcell,P3H1,True
Tcell,P4HA1,True
Tcell,P4HB,True
Tcell,PAFAH1B2,True
Tcell,PALLD,True
Tcell,PAPSS2,True
Tcell,PARVA,False
Tcell,PCBD1,True
Tcell,PCBP3,True
Tcell,PCOLCE,True
Tcell,PDGFA,True
Tcell,PDGFB,True
Tcell,PDGFC,True
Tcell,PDGFRB,True
Tcell,PDLIM3,True
Tcell,PDPN,True
Tcell,PEX2,True
Tcell,PGRMC2,True
Tcell,PHLDA1,True
Tcell,PICALM,True
Tcell,PLAU,True
Tcell,PLEKHA1,True
Tcell,PLPPR4,False
Tcell,PLXDC1,True
Tcell,POLR2C,True
Tcell,POSTN,False
Tcell,PPA1,True
Tcell,PPA2,True
Tcell,PRKD1,False
Tcell,PRKG1,False
Tcell,PRRC1,True
Tcell,PRRX1,False
Tcell,PRSS23,True
Tcell,PSMD1,True
Tcell,PTDSS1,True
Tcell,PTEN,True
Tcell,PTK2,True
Tcell,PTPMT1,True
Tcell,PTPRD,False
Tcell,PUF60,True
Tcell,RAB2A,True
Tcell,RABEPK,True
Tcell,RAI14,True
Tcell,RARRES2,True
Tcell,RB1CC1,True
Tcell,RBFOX2,True
Tcell,RCN3,True
Tcell,RGS16,True
Tcell,RGS4,False
Tcell,RHOC,True
Tcell,RHOQ,True
Tcell,RNF139,True
Tcell,RPL8,True
Tcell,RPP30,True
Tcell,SAP18,True
Tcell,SCAMP4,True
Tcell,SCN9A,True
Tcell,SDC2,True
Tcell,SDF4,True
Tcell,SEC23IP,True
Tcell,SEC24D,True
Tcell,SEC63,True
Tcell,SERPIND1,False
Tcell,SERPINF1,True
Tcell,SERPINH1,True
Tcell,SFTPC,False
Tcell,SHARPIN,True
Tcell,SLC12A2,True
Tcell,SLC22A17,True
Tcell,SLC25A6,True
Tcell,SLC30A5,True
Tcell,SLC35A3,True
Tcell,SLC38A10,True
Tcell,SLC39A14,True
Tcell,SLC39A4,True
Tcell,SLC52A2,True
Tcell,SLC7A8,True
Tcell,SMC3,True
Tcell,SNAI1,True
Tcell,SNAI2,False
Tcell,SNAP23,True
Tcell,SPARC,True
Tcell,SPATA2L,True
Tcell,SPOCK1,False
Tcell,SPRY2,True
Tcell,SPRY4,False
Tcell,SPRYD7,True
Tcell,SRPX2,False
Tcell,ST13,True
Tcell,ST8SIA2,False
Tcell,STAMBPL1,True
Tcell,STC2,False
Tcell,STK16,True
Tcell,STK32B,True
Tcell,STON1,True
Tcell,SUGCT,True
Tcell,SULF1,False
Tcell,SYDE1,False
Tcell,SYNDIG1,False
Tcell,TAGLN,True
Tcell,TBC1D12,True
Tcell,TCF12,True
Tcell,TCF4,True
Tcell,TCTN3,True
Tcell,TENM4,True
Tcell,TGFB1I1,True
Tcell,TGFB3,True
Tcell,TGFBI,True
Tcell,THBS1,True
Tcell,THBS2,False
Tcell,THY1,True
Tcell,TIMP1,True
Tcell,TIMP2,True
Tcell,TIMP3,True
Tcell,TM6SF2,False
Tcell,TM9SF3,True
Tcell,TMCO1,True
Tcell,TMEM158,True
Tcell,TMEM214,True
Tcell,TMEM230,True
Tcell,TMEM47,False
Tcell,TNC,True
Tcell,TNFAIP6,True
Tcell,TNFRSF10D,True
Tcell,TNPO1,True
Tcell,TRAPPC9,True
Tcell,TSPAN9,True
Tcell,TSPYL1,True
Tcell,TUBA1A,True
Tcell,TWIST1,True
Tcell,UAP1,True
Tcell,UBTD1,True
Tcell,UFC1,True
Tcell,UQCR11,True
Tcell,USB1,True
Tcell,VCAN,True
Tcell,VGLL3,False
Tcell,VIM,True
Tcell,VPS26A,True
Tcell,VPS28,True
Tcell,VPS4A,True
Tcell,VSTM4,True
Tcell,WDR45B,True
Tcell,WNT2,False
Tcell,WNT5A,True
Tcell,WNT5B,True
Tcell,YY1,True
Tcell,ZBED1,True
Tcell,ZBED4,True
Tcell,ZCCHC24,True
Tcell,ZEB1,True
Tcell,ZFHX3,True
Tcell,ZNF16,True
Tcell,ZNF239,False
Tcell,ZNF7,True
Myeloid,ABL2,True
Myeloid,ACAN,False
Myeloid,ACBD3,True
Myeloid,ACKR3,True
Myeloid,ACTA2,True
Myeloid,ACTL7B,False
Myeloid,ACVR1,True
Myeloid,ADAM12,True
Myeloid,ADAM19,True
Myeloid,ADAMTS12,False
Myeloid,ADAMTS2,True
Myeloid,ADGRA2,True
Myeloid,AEBP1,True
Myeloid,ALDH18A1,True
Myeloid,ANGPTL2,False
Myeloid,ANTXR1,True
Myeloid,APBA2,True
Myeloid,ARL4C,True
Myeloid,ASPN,False
Myeloid,ATG12,True
Myeloid,ATG16L1,True
Myeloid,ATG5,True
Myeloid,AVPI1,True
Myeloid,AZIN1,True
Myeloid,BBS4,True
Myeloid,BCCIP,True
Myeloid,BGN,True
Myeloid,BICC1,False
Myeloid,BMP1,True
Myeloid,BNC2,True
Myeloid,BPGM,True
Myeloid,BTBD1,True
Myeloid,BUB3,True
Myeloid,C8ORF33,True
Myeloid,CALD1,True
Myeloid,CALU,True
Myeloid,CAMK2N1,True
Myeloid,CAMSAP2,True
Myeloid,CANT1,True
Myeloid,CAV2,True
Myeloid,CCNH,True
Myeloid,CD248,True
Myeloid,CDH11,False
Myeloid,CDH13,False
Myeloid,CDH2,False
Myeloid,CHN1,True
Myeloid,CHORDC1,True
Myeloid,CHPF,True
Myeloid,CHST7,True
Myeloid,CLEC11A,True
Myeloid,CLIC4,True
Myeloid,COL10A1,False
Myeloid,COL11A1,False
Myeloid,COL18A1,True
Myeloid,COL1A1,True
Myeloid,COL1A2,True
Myeloid,COL3A1,True
Myeloid,COL5A1,True
Myeloid,COL5A2,True
Myeloid,COL5A3,True
Myeloid,COL6A1,True
Myeloid,COL6A2,True
Myeloid,COL6A3,True
Myeloid,COL7A1,True
Myeloid,COL8A1,False
Myeloid,COMMD10,True
Myeloid,COPZ2,True
Myeloid,CORO1C,True
Myeloid,COX15,True
Myeloid,CRMP1,True
Myeloid,CSGALNACT2,True
Myeloid,CSNK2A1,True
Myeloid,CTSK,True
Myeloid,CYC1,True
Myeloid,CYHR1,True
Myeloid,DACT1,False
Myeloid,DCN,True
Myeloid,DCPS,True
Myeloid,DCXR,True
Myeloid,DDR2,True
Myeloid,DDX10,True
Myeloid,DENND5A,True
Myeloid,DERL1,True
Myeloid,DGAT1,True
Myeloid,DGKI,False
Myeloid,DKK3,True
Myeloid,DLC1,True
Myeloid,DNAJB4,True
Myeloid,DNMBP,True
Myeloid,DNPH1,True
Myeloid,DOCK1,True
Myeloid,DOK4,True
Myeloid,DPP4,True
Myeloid,DPYSL3,True
Myeloid,DSG2,True
Myeloid,DUSP14,True
Myeloid,DUSP6,True
Myeloid,DYNC1I2,True
Myeloid,DZIP1,False
Myeloid,ECI2,True
Myeloid,EDEM3,True
Myeloid,EDNRA,False
Myeloid,EFEMP2,True
Myeloid,EGR2,True
Myeloid,EIF2B2,True
Myeloid,EIF3A,True
Myeloid,EIF3E,True
Myeloid,EIF3H,True
Myeloid,EIF3J,True
Myeloid,EIF4E2,True
Myeloid,EMILIN1,True
Myeloid,EML1,False
Myeloid,ENC1,True
Myeloid,ENPEP,False
Myeloid,ENTPD7,True
Myeloid,EPYC,False
Myeloid,EXOSC4,True
Myeloid,F2RL1,True
Myeloid,FABP2,False
Myeloid,FANCF,True
Myeloid,FAP,False
Myeloid,FBLN2,True
Myeloid,FBN1,True
Myeloid,FBXL6,True
Myeloid,FERMT2,True
Myeloid,FILIP1L,True
Myeloid,FKBP10,False
Myeloid,FN1,True
Myeloid,FOLH1,False
Myeloid,FOXD1,False
Myeloid,FOXF2,False
Myeloid,FST,True
Myeloid,FSTL1,False
Myeloid,FTH1,True
Myeloid,GAL3ST4,True
Myeloid,GAS1,True
Myeloid,GFPT2,True
Myeloid,GLCE,True
Myeloid,GLI2,False
Myeloid,GLRX2,True
Myeloid,GLRX3,True
Myeloid,GLT8D2,False
Myeloid,GPR3,True
Myeloid,GPRC5D,False
Myeloid,GREM1,False
Myeloid,GRINA,True
Myeloid,GRP,False
Myeloid,GSTO1,True
Myeloid,GTF2A2,True
Myeloid,GTF2F2,True
Myeloid,GUCY1A2,False
Myeloid,HACD3,True
Myeloid,HAS2,False
Myeloid,HEPH,False
Myeloid,HGH1,True
Myeloid,HMGA2,False
Myeloid,HNRNPF,True
Myeloid,HOMER3,True
Myeloid,HS1BP3,True
Myeloid,HSD17B12,True
Myeloid,HSF1,True
Myeloid,HSP90AA1,True
Myeloid,HSP90AB1,True
Myeloid,HTN3,False
Myeloid,HTRA1,True
Myeloid,IDE,True
Myeloid,IER3,True
Myeloid,IGFBP7,True
Myeloid,IL11,False
Myeloid,INHBA,True
Myeloid,IPO7,True
Myeloid,IQCJ-SCHIP1,True
Myeloid,ISG20L2,True
Myeloid,ISLR,False
Myeloid,ITFG1,True
Myeloid,ITGA5,True
Myeloid,ITGAV,True
Myeloid,IVNS1ABP,True
Myeloid,JMJD6,True
Myeloid,KCND2,False
Myeloid,KCNE4,False
Myeloid,KDELR1,True
Myeloid,KDELR3,True
Myeloid,KIAA0930,True
Myeloid,KIF26B,True
Myeloid,KLHL35,True
Myeloid,KPNA3,True
Myeloid,LAMA4,False
Myeloid,LAMB1,False
Myeloid,LAMC3,False
Myeloid,LGALS1,True
Myeloid,LGALS3,True
Myeloid,LIF,True
Myeloid,LOX,False
Myeloid,LOXL1,True
Myeloid,LOXL2,True
Myeloid,LPAR1,True
Myeloid,LRP12,True
Myeloid,LRRC15,False
Myeloid,LRRC17,False
Myeloid,LUM,True
Myeloid,LYPLA1,True
Myeloid,MAFG,True
Myeloid,MAP1A,True
Myeloid,MAP1B,True
Myeloid,MAP1LC3B,True
Myeloid,MFF,True
Myeloid,MFGE8,True
Myeloid,MGAT5,True
Myeloid,MICAL2,True
Myeloid,MICU1,True
Myeloid,MINPP1,True
Myeloid,MMD,True
Myeloid,MMP11,True
Myeloid,MMP14,True
Myeloid,MMP16,False
Myeloid,MMP2,True
Myeloid,MN1,True
Myeloid,MPST,True
Myeloid,MSC,True
Myeloid,MSX1,True
Myeloid,MXRA7,True
Myeloid,MXRA8,False
Myeloid,MYLK,True
Myeloid,NAT2,False
Myeloid,NDUFAF7,True
Myeloid,NID2,False
Myeloid,NOX4,False
Myeloid,NPM3,True
Myeloid,NRP2,True
Myeloid,NT5C,True
Myeloid,NUAK1,True
Myeloid,NXPE3,True
Myeloid,OLFML1,False
Myeloid,OLFML2B,True
Myeloid,OLFML3,True
Myeloid,OPLAH,True
Myeloid,P3H1,True
Myeloid,P4HA1,True
Myeloid,P4HB,True
Myeloid,PAFAH1B2,True
Myeloid,PALLD,True
Myeloid,PAPSS2,True
Myeloid,PARVA,False
Myeloid,PCBD1,True
Myeloid,PCBP3,True
Myeloid,PCOLCE,True
Myeloid,PDGFA,True
Myeloid,PDGFB,True
Myeloid,PDGFC,True
Myeloid,PDGFRB,True
Myeloid,PDLIM3,True
Myeloid,PDPN,True
Myeloid,PEX2,True
Myeloid,PGRMC2,True
Myeloid,PHLDA1,True
Myeloid,PICALM,True
Myeloid,PLAU,True
Myeloid,PLEKHA1,True
Myeloid,PLPPR4,False
Myeloid,PLXDC1,True
Myeloid,POLR2C,True
Myeloid,POSTN,False
Myeloid,PPA1,True
Myeloid,PPA2,True
Myeloid,PRKD1,False
Myeloid,PRKG1,False
Myeloid,PRRC1,True
Myeloid,PRRX1,False
Myeloid,PRSS23,True
Myeloid,PSMD1,True
Myeloid,PTDSS1,True
Myeloid,PTEN,True
Myeloid,PTK2,True
Myeloid,PTPMT1,True
Myeloid,PTPRD,False
Myeloid,PUF60,True
Myeloid,RAB2A,True
Myeloid,RABEPK,True
Myeloid,RAI14,True
Myeloid,RARRES2,True
Myeloid,RB1CC1,True
Myeloid,RBFOX2,True
Myeloid,RCN3,True
Myeloid,RGS16,True
Myeloid,RGS4,False
Myeloid,RHOC,True
Myeloid,RHOQ,True
Myeloid,RNF139,True
Myeloid,RPL8,True
Myeloid,RPP30,True
Myeloid,SAP18,True
Myeloid,SCAMP4,True
Myeloid,SCN9A,True
Myeloid,SDC2,True
Myeloid,SDF4,True
Myeloid,SEC23IP,True
Myeloid,SEC24D,True
Myeloid,SEC63,True
Myeloid,SERPIND1,False
Myeloid,SERPINF1,True
Myeloid,SERPINH1,True
Myeloid,SFTPC,False
Myeloid,SHARPIN,True
Myeloid,SLC12A2,True
Myeloid,SLC22A17,True
Myeloid,SLC25A6,True
Myeloid,SLC30A5,True
Myeloid,SLC35A3,True
Myeloid,SLC38A10,True
Myeloid,SLC39A14,True
Myeloid,SLC39A4,True
Myeloid,SLC52A2,True
Myeloid,SLC7A8,True
Myeloid,SMC3,True
Myeloid,SNAI1,True
Myeloid,SNAI2,False
Myeloid,SNAP23,True
Myeloid,SPARC,True
Myeloid,SPATA2L,True
Myeloid,SPOCK1,False
Myeloid,SPRY2,True
Myeloid,SPRY4,False
Myeloid,SPRYD7,True
Myeloid,SRPX2,False
Myeloid,ST13,True
Myeloid,ST8SIA2,False
Myeloid,STAMBPL1,True
Myeloid,STC2,False
Myeloid,STK16,True
Myeloid,STK32B,True
Myeloid,STON1,True
Myeloid,SUGCT,True
Myeloid,SULF1,False
Myeloid,SYDE1,False
Myeloid,SYNDIG1,False
Myeloid,TAGLN,True
Myeloid,TBC1D12,True
Myeloid,TCF12,True
Myeloid,TCF4,True
Myeloid,TCTN3,True
Myeloid,TENM4,True
Myeloid,TGFB1I1,True
Myeloid,TGFB3,True
Myeloid,TGFBI,True
Myeloid,THBS1,True
Myeloid,THBS2,False
Myeloid,THY1,True
Myeloid,TIMP1,True
Myeloid,TIMP2,True
Myeloid,TIMP3,True
Myeloid,TM6SF2,False
Myeloid,TM9SF3,True
Myeloid,TMCO1,True
Myeloid,TMEM158,True
Myeloid,TMEM214,True
Myeloid,TMEM230,True
Myeloid,TMEM47,False
Myeloid,TNC,True
Myeloid,TNFAIP6,True
Myeloid,TNFRSF10D,True
Myeloid,TNPO1,True
Myeloid,TRAPPC9,True
Myeloid,TSPAN9,True
Myeloid,TSPYL1,True
Myeloid,TUBA1A,True
Myeloid,TWIST1,True
Myeloid,UAP1,True
Myeloid,UBTD1,True
Myeloid,UFC1,True
Myeloid,UQCR11,True
Myeloid,USB1,True
Myeloid,VCAN,True
Myeloid,VGLL3,False
Myeloid,VIM,True
Myeloid,VPS26A,True
Myeloid,VPS28,True
Myeloid,VPS4A,True
Myeloid,VSTM4,True
Myeloid,WDR45B,True
Myeloid,WNT2,False
Myeloid,WNT5A,True
Myeloid,WNT5B,True
Myeloid,YY1,True
Myeloid,ZBED1,True
Myeloid,ZBED4,True
Myeloid,ZCCHC24,True
Myeloid,ZEB1,True
Myeloid,ZFHX3,True
Myeloid,ZNF16,True
Myeloid,ZNF239,False
Myeloid,ZNF7,True
