signature,model,rank,gene,weight,meta_p,meta_FDR
TAC_high_positive_top200,TAC_high_vs_other,74,COL8A1,7.85888832353677,3.87557568139563e-15,6.4837333696862e-13
TAC_high_positive_top200,TAC_high_vs_other,75,LOXL2,7.84299636331785,4.39920736321559e-15,7.26162495421453e-13
TAC_high_positive_top200,TAC_high_vs_other,76,DGKI,7.83980296433866,4.51253944208617e-15,7.35068924908247e-13
TAC_high_positive_top200,TAC_high_vs_other,77,IQCJ-SCHIP1,7.83200170926833,4.80163003667865e-15,7.72002335767294e-13
TAC_high_positive_top200,TAC_high_vs_other,78,PLAU,7.82163547959221,5.21414131807484e-15,8.2757781433034e-13
TAC_high_positive_top200,TAC_high_vs_other,79,TGFBI,7.80588449312421,5.9085677258962e-15,9.25924917045506e-13
TAC_high_positive_top200,TAC_high_vs_other,80,MSC,7.78763563644785,6.82747314292065e-15,1.05655146886697e-12
TAC_high_positive_top200,TAC_high_vs_other,81,THBS1,7.78584815877832,6.92470746860673e-15,1.05836886989323e-12
TAC_high_positive_top200,TAC_high_vs_other,82,NRP2,7.77601920204258,7.48423517090444e-15,1.12755725285476e-12
TAC_high_positive_top200,TAC_high_vs_other,83,LRRC17,7.77475173270709,7.55955185678069e-15,1.12755725285476e-12
TAC_high_positive_top200,TAC_high_vs_other,84,DACT1,7.77257272951703,7.69078193143966e-15,1.1334747656098e-12
TAC_high_positive_top200,TAC_high_vs_other,85,MMP14,7.76855593740058,7.93859470993766e-15,1.14371253592228e-12
TAC_high_positive_top200,TAC_high_vs_other,86,MXRA8,7.76845352880545,7.94501438524365e-15,1.14371253592228e-12
TAC_high_positive_top200,TAC_high_vs_other,87,RARRES2,7.75987608605605,8.5012405645148e-15,1.20971676078958e-12
TAC_high_positive_top200,TAC_high_vs_other,88,GLI2,7.74571756131902,9.50435641227478e-15,1.33709014072684e-12
TAC_high_positive_top200,TAC_high_vs_other,89,KCNE4,7.74018021208573,9.92759985861507e-15,1.38094029493994e-12
TAC_high_positive_top200,TAC_high_vs_other,90,CAMSAP2,7.69377213702238,1.42859380165873e-14,1.96511014050389e-12
