"axis","feature","n","rho","p.value","FDR"
"Chemokine","fibroblast_TAC_high_top50_signature",60,-0.562322867463184,2.92888796881157e-06,8.78666390643471e-06
"Chemokine","CAF_score",60,-0.527313142539594,1.49860351799118e-05,3.37185791548015e-05
"Chemokine","core_axis_state_score",60,0.191608780216727,0.142484660163973,0.684710894462589
"Chemokine","perk_caf_ecology_score",60,-0.289858293970547,0.0246740478720493,0.037011071808074
"Chemokine","Ca2_axis_score",60,0.252959155320923,0.0511715994722323,0.162463306910081
"Chemokine","PERK_bias_index",60,0.0451236454570714,0.732088961121554,0.875421355696391
"Chemokine","UPR_composite",60,0.427785495971103,0.000651114440942567,0.0058600299684831
"Chemokine","TMEM158",60,-0.0949972243472466,0.470293660478904,0.593234511409752
"Developmental","fibroblast_TAC_high_top50_signature",60,0.0232286746318422,0.860162527530825,0.967682843472178
"Developmental","CAF_score",60,-0.0742984162267297,0.572626679703429,0.672668721681885
"Developmental","core_axis_state_score",60,-0.18716310086135,0.152157976547242,0.684710894462589
"Developmental","perk_caf_ecology_score",60,-0.318088357877188,0.0132577515144947,0.0238639527260904
"Developmental","Ca2_axis_score",60,0.247679911086413,0.056390205213829,0.162463306910081
"Developmental","PERK_bias_index",60,-0.232564601278133,0.0737520171139694,0.520487479223515
"Developmental","UPR_composite",60,0.3073075854404,0.0169205527726247,0.050761658317874
"Developmental","TMEM158",60,-0.150416904086395,0.251317286344304,0.447429026362002
"ECM_integrin","fibroblast_TAC_high_top50_signature",60,0.745040288969158,8.72131558410558e-12,7.84918402569502e-11
"ECM_integrin","CAF_score",60,0.727146429563768,4.73153612254796e-11,4.25838251029317e-10
"ECM_integrin","core_axis_state_score",60,-0.0340094470686302,0.796430829777572,0.895984683499769
"ECM_integrin","perk_caf_ecology_score",60,0.367268685746041,0.00389396130941793,0.0116818839282538
"ECM_integrin","Ca2_axis_score",60,0.0620172270075021,0.637832425562644,0.637832425562644
"ECM_integrin","PERK_bias_index",60,-0.20150041678244,0.122620972787671,0.520487479223515
"ECM_integrin","UPR_composite",60,-0.113976104473465,0.385879633152577,0.496130956910456
"ECM_integrin","TMEM158",60,0.290939422020766,0.0241189926548624,0.0809866145124618
"Growth_factor","fibroblast_TAC_high_top50_signature",60,-0.700861350375104,4.52080007644808e-10,2.03436003440164e-09
"Growth_factor","CAF_score",60,-0.70602945262573,2.95761729537786e-10,1.33092778292004e-09
"Growth_factor","core_axis_state_score",60,0.117254792998055,0.372270261615376,0.895984683499769
"Growth_factor","perk_caf_ecology_score",60,-0.452347874409558,0.00028502021410592,0.00128259096347664
"Growth_factor","Ca2_axis_score",60,0.233787163100861,0.0722059141822583,0.162463306910081
"Growth_factor","PERK_bias_index",60,-0.0310641844956933,0.813729699180146,0.875421355696391
"Growth_factor","UPR_composite",60,0.282189497082523,0.0289287851515721,0.0564884443752811
"Growth_factor","TMEM158",60,-0.136520294322316,0.298286017574668,0.447429026362002
"IL6_family","fibroblast_TAC_high_top50_signature",60,-0.511308696860239,2.98121930438498e-05,6.70774343486621e-05
"IL6_family","CAF_score",60,-0.586440677966102,8.49446279321534e-07,2.5483388379646e-06
"IL6_family","core_axis_state_score",60,-0.10830786329536,0.410094073539818,0.895984683499769
"IL6_family","perk_caf_ecology_score",60,-0.51636565712698,2.40786394397741e-05,0.000216707754957966
