"category","ligand","receptor","pair_id","pair_label","feature","n","rho","p.value","FDR","boundary_call"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","core_axis_state_score",60,-0.0100583495415393,0.939200644904,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","perk_caf_ecology_score",60,0.569602667407613,2.03667905520466e-06,9.63450682634683e-05,"positive_FDR"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","Ca2_axis_score",60,-0.171380939149764,0.190433911329354,0.535289384204105,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","PERK_bias_index",60,0.00561267018616282,0.966051230492269,0.985543084180252,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","UPR_composite",60,-0.312531258682968,0.0150501036353062,0.08129629212117,"not_positive_FDR"
"ECM_integrin","COL1A1","ITGA1","COL1A1_ITGA1","COL1A1->ITGA1","TMEM158",60,0.281489727381192,0.0293459263440602,0.133686997789607,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","fibroblast_TAC_high_top50_signature",60,0.791997777160322,4.85495109573258e-14,9.95264974625179e-13,"positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","CAF_score",60,0.811280911364268,3.85253509669668e-15,6.31815755858256e-14,"positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","core_axis_state_score",60,-0.0535148652403445,0.684672328963146,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","perk_caf_ecology_score",60,0.502083912197833,4.36384979518862e-05,0.00054331602130123,"positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","Ca2_axis_score",60,-0.157210336204501,0.230292403707919,0.54228326195963,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","PERK_bias_index",60,-0.0578494026118366,0.660631599482206,0.893180940951289,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","UPR_composite",60,-0.286857460405668,0.0262714397435849,0.0933473670907285,"not_positive_FDR"
"ECM_integrin","COL1A2","ITGA1","COL1A2_ITGA1","COL1A2->ITGA1","TMEM158",60,0.242023355651206,0.062452194776936,0.20484319886835,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","fibroblast_TAC_high_top50_signature",60,0.786607390941928,9.40346595031106e-14,1.54216841585101e-12,"positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","CAF_score",60,0.825229230341762,5.10799770541061e-16,1.3961860394789e-14,"positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","core_axis_state_score",60,-0.0240066685190331,0.855528346746428,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","perk_caf_ecology_score",60,0.561656015559878,3.02669773096832e-06,9.63450682634683e-05,"positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","Ca2_axis_score",60,-0.166935259794387,0.20236549890643,0.535289384204105,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","PERK_bias_index",60,-0.0072242289524868,0.956311997781616,0.985543084180252,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","UPR_composite",60,-0.29319255348708,0.022996042049323,0.0933473670907285,"not_positive_FDR"
"ECM_integrin","COL3A1","ITGA1","COL3A1_ITGA1","COL3A1->ITGA1","TMEM158",60,0.275375219084997,0.0332097978577549,0.136160171216795,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","fibroblast_TAC_high_top50_signature",60,0.582272853570436,1.05957071889087e-06,3.34172303650197e-06,"positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","CAF_score",60,0.556765768268964,3.84279824028616e-06,1.12539091322666e-05,"positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","core_axis_state_score",60,-0.0174492914698527,0.894724550595831,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","perk_caf_ecology_score",60,0.415726590719644,0.000955353696230183,0.00435216683838194,"positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","Ca2_axis_score",60,-0.131703250903029,0.315819085371939,0.602495872353229,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","PERK_bias_index",60,0.112253403723256,0.393147341032234,0.70082786879659,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","UPR_composite",60,-0.284968046679633,0.0273211806119205,0.0933473670907285,"not_positive_FDR"
"ECM_integrin","COL6A1","ITGA1","COL6A1_ITGA1","COL6A1->ITGA1","TMEM158",60,0.186381330155833,0.15390818746516,0.264424104126087,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","fibroblast_TAC_high_top50_signature",60,0.537871631008614,9.33640877230486e-06,2.55195173109666e-05,"positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","CAF_score",60,0.49974993053626,4.79719253815727e-05,0.00012292805879028,"positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","core_axis_state_score",60,0.0348430119477633,0.791552170452327,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","perk_caf_ecology_score",60,0.346985273687135,0.00660469090150611,0.02166338615694,"positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","Ca2_axis_score",60,-0.0273964990275076,0.835395111169458,0.943199337393757,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","PERK_bias_index",60,0.114976382328425,0.381696598564618,0.695536024051082,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","UPR_composite",60,-0.243845512642401,0.0604446534881955,0.17701648521543,"not_positive_FDR"
"ECM_integrin","COL6A2","ITGA1","COL6A2_ITGA1","COL6A2->ITGA1","TMEM158",60,0.132184552075923,0.314038205583357,0.40874814060056,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","fibroblast_TAC_high_top50_signature",60,0.678744095582106,2.52216345099221e-09,1.59090309985663e-08,"positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","CAF_score",60,0.649458182828564,1.98028938251822e-08,1.01489830854059e-07,"positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","core_axis_state_score",60,-0.0716310086135038,0.586524739169474,0.97402681130656,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","perk_caf_ecology_score",60,0.453848291191998,0.000270440339271261,0.00221761078202434,"positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","Ca2_axis_score",60,-0.234954153931648,0.070754306701709,0.446296396118472,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","PERK_bias_index",60,0.0875243123089747,0.50606538139231,0.728023882002972,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","UPR_composite",60,-0.33148096693526,0.00967522578648707,0.0610283472686107,"not_positive_FDR"
"ECM_integrin","COL6A3","ITGA1","COL6A3_ITGA1","COL6A3->ITGA1","TMEM158",60,0.138910511201737,0.28982584514449,0.383318053255615,"not_positive_FDR"
