"item","value"
"module_status","completed_first_pass"
"lead_gene","TMEM158"
"recommended_story","Ca2/UPR branch-state + TMEM158 lead candidate"
"tcga_samples_scored","184"
"external_datasets_scored","4"
"figures_created","5"
